ID,value,Activity
GRAMPA0,1.404833717,4.595166283
GRAMPA1,1.806179974,4.193820026
GRAMPA2,2.729534801,3.270465199
GRAMPA3,1.035664457,4.964335543
GRAMPA4,3.255272505,2.744727495
GRAMPA5,0.716003344,5.283996656
GRAMPA6,1.806179974,4.193820026
GRAMPA7,0.740362689,5.259637311
GRAMPA8,0.511883361,5.488116639
GRAMPA9,1.22184875,4.77815125
GRAMPA10,1.397940009,4.602059991
GRAMPA11,0.91559819,5.08440181
GRAMPA12,0.793802447,5.206197553
GRAMPA13,1.763059376,4.236940624
GRAMPA14,1.739487737,4.260512263
GRAMPA15,1.204119983,4.795880017
GRAMPA16,0.301029996,5.698970004
GRAMPA17,0.780157233,5.219842767
GRAMPA18,1.698970004,4.301029996
GRAMPA19,1.397940009,4.602059991
GRAMPA20,0.495544338,5.504455662
GRAMPA21,2.0,4.0
GRAMPA22,1.0,5.0
GRAMPA23,1.397940009,4.602059991
GRAMPA24,1.477121255,4.522878745
GRAMPA25,1.477121255,4.522878745
GRAMPA27,1.597969275,4.402030725
GRAMPA28,2.301029996,3.698970004
GRAMPA29,-0.397940009,6.397940009
GRAMPA30,0.505149978,5.494850022
GRAMPA31,0.822821645,5.177178355
GRAMPA32,0.77815125,5.22184875
GRAMPA33,1.534986227,4.465013773
GRAMPA34,2.13142941,3.86857059
GRAMPA35,3.397940009,2.602059991
GRAMPA36,1.122180125,4.877819875
GRAMPA37,2.153062243,3.846937757
GRAMPA38,1.748738073,4.251261927
GRAMPA39,2.0,4.0
GRAMPA40,2.0,4.0
GRAMPA41,0.347292349,5.652707651
GRAMPA43,1.594341466,4.405658534
GRAMPA44,1.035544264,4.964455736
GRAMPA45,1.052787716,4.947212284
GRAMPA46,0.407489507,5.592510493
GRAMPA47,0.345574504,5.654425496
GRAMPA48,1.714462064,4.285537936
GRAMPA49,0.193124598,5.806875402
GRAMPA50,-0.107905397,6.107905397
GRAMPA51,0.494154594,5.505845406
GRAMPA52,0.494154594,5.505845406
GRAMPA53,-0.408935393,6.408935393
GRAMPA55,1.714691003,4.285308997
GRAMPA56,2.095828935,3.904171065
GRAMPA57,1.204119983,4.795880017
GRAMPA58,1.912751771,4.087248229
GRAMPA59,0.439332694,5.560667306
GRAMPA60,1.204119983,4.795880017
GRAMPA61,0.301029996,5.698970004
GRAMPA62,1.537819095,4.462180905
GRAMPA63,2.167916809,3.832083191
GRAMPA64,0.977446003,5.022553997
GRAMPA65,1.653212514,4.346787486
GRAMPA66,-0.226118693,6.226118693
GRAMPA67,1.096910013,4.903089987
GRAMPA68,1.254584854,4.745415146
GRAMPA69,1.579489271,4.420510729
GRAMPA70,1.196479183,4.803520817
GRAMPA71,1.602059991,4.397940009
GRAMPA72,1.641282787,4.358717213
GRAMPA73,1.347024309,4.652975691
GRAMPA74,0.799340549,5.200659451
GRAMPA75,1.176091259,4.823908741
GRAMPA76,1.505149978,4.494850022
GRAMPA78,0.273001272,5.726998728
GRAMPA79,2.176091259,3.823908741
GRAMPA80,2.176091259,3.823908741
GRAMPA81,2.176091259,3.823908741
GRAMPA82,1.77815125,4.22184875
GRAMPA83,0.903089987,5.096910013
GRAMPA84,1.698970004,4.301029996
GRAMPA85,1.698970004,4.301029996
GRAMPA87,1.146968071,4.853031929
GRAMPA88,1.73239376,4.26760624
GRAMPA89,1.704150517,4.295849483
GRAMPA90,1.451786436,4.548213564
GRAMPA91,1.029383778,4.970616222
GRAMPA92,1.550368313,4.449631687
GRAMPA93,1.168088503,4.831911497
GRAMPA94,0.477121255,5.522878745
GRAMPA95,0.574031268,5.425968732
GRAMPA96,1.653212514,4.346787486
GRAMPA97,1.434403704,4.565596296
GRAMPA98,1.213565458,4.786434542
GRAMPA99,1.041392685,4.958607315
GRAMPA100,0.230448921,5.769551079
GRAMPA101,-0.05343728,6.05343728
GRAMPA102,0.676793101,5.323206899
GRAMPA103,1.539472085,4.460527915
GRAMPA104,1.012837225,4.987162775
GRAMPA105,1.193820026,4.806179974
GRAMPA106,1.297401259,4.702598741
GRAMPA107,2.069068809,3.930931191
GRAMPA108,1.131475391,4.868524609
GRAMPA109,2.214311877,3.785688123
GRAMPA110,2.176091259,3.823908741
GRAMPA111,2.876940771,3.123059229
GRAMPA112,2.0,4.0
GRAMPA113,1.457882814,4.542117186
GRAMPA114,2.270282518,3.729717482
GRAMPA116,0.465469177,5.534530823
GRAMPA117,0.795880017,5.204119983
GRAMPA118,2.230448921,3.769551079
GRAMPA119,1.346248331,4.653751669
GRAMPA120,0.979032266,5.020967734
GRAMPA121,2.174262571,3.825737429
GRAMPA122,1.973803393,4.026196607
GRAMPA123,1.929321034,4.070678966
GRAMPA126,1.397940009,4.602059991
GRAMPA128,1.491361694,4.508638306
GRAMPA129,2.973127854,3.026872146
GRAMPA130,1.808962119,4.191037881
GRAMPA131,0.903089987,5.096910013
GRAMPA132,1.301029996,4.698970004
GRAMPA133,2.168421013,3.831578987
GRAMPA134,1.531478917,4.468521083
GRAMPA135,1.414973348,4.585026652
GRAMPA136,-0.783373731,6.783373731
GRAMPA137,2.957851505,3.042148495
GRAMPA138,2.89683429,3.10316571
GRAMPA139,2.088444507,3.911555493
GRAMPA140,2.091680987,3.908319013
GRAMPA142,3.882032364,2.117967636
GRAMPA143,1.921765897,4.078234103
GRAMPA144,1.301029996,4.698970004
GRAMPA145,1.895567254,4.104432746
GRAMPA146,1.602059991,4.397940009
GRAMPA147,2.020824783,3.979175217
GRAMPA148,2.004998987,3.995001013
GRAMPA149,1.44238053,4.55761947
GRAMPA150,1.44238053,4.55761947
GRAMPA151,1.620707597,4.379292403
GRAMPA152,1.505149978,4.494850022
GRAMPA153,2.0,4.0
GRAMPA156,1.036429266,4.963570734
GRAMPA157,2.301029996,3.698970004
GRAMPA159,0.634652341,5.365347659
GRAMPA160,0.438630248,5.561369752
GRAMPA161,1.85056361,4.14943639
GRAMPA162,0.637139113,5.362860887
GRAMPA164,1.301029996,4.698970004
GRAMPA165,2.301029996,3.698970004
GRAMPA166,2.0,4.0
GRAMPA167,1.477121255,4.522878745
GRAMPA168,1.698970004,4.301029996
GRAMPA169,1.397940009,4.602059991
GRAMPA170,1.477121255,4.522878745
GRAMPA171,1.806179974,4.193820026
GRAMPA172,0.903089987,5.096910013
GRAMPA173,1.675319983,4.324680017
GRAMPA174,0.456663883,5.543336117
GRAMPA175,0.096910013,5.903089987
GRAMPA176,2.0,4.0
GRAMPA177,1.640978057,4.359021943
GRAMPA178,1.204119983,4.795880017
GRAMPA179,0.698970004,5.301029996
GRAMPA182,1.096910013,4.903089987
GRAMPA183,-0.107905397,6.107905397
GRAMPA184,0.63896272,5.36103728
GRAMPA185,1.096910013,4.903089987
GRAMPA186,1.432026689,4.567973311
GRAMPA187,0.494154594,5.505845406
GRAMPA188,0.315270435,5.684729565
GRAMPA189,0.531478917,5.468521083
GRAMPA190,0.315270435,5.684729565
GRAMPA191,0.441956838,5.558043162
GRAMPA192,0.230448921,5.769551079
GRAMPA198,0.301029996,5.698970004
GRAMPA199,1.255272505,4.744727495
GRAMPA201,1.0,5.0
GRAMPA203,0.622879835,5.377120165
GRAMPA204,0.469295917,5.530704083
GRAMPA207,0.849485002,5.150514998
GRAMPA210,1.204119983,4.795880017
GRAMPA212,0.301029996,5.698970004
GRAMPA213,0.903089987,5.096910013
GRAMPA214,1.204119983,4.795880017
GRAMPA215,0.812913357,5.187086643
GRAMPA216,1.06069784,4.93930216
GRAMPA219,0.278753601,5.721246399
GRAMPA220,0.380211242,5.619788758
GRAMPA221,0.698970004,5.301029996
GRAMPA222,1.096910013,4.903089987
GRAMPA223,0.673020907,5.326979093
GRAMPA224,0.146128036,5.853871964
GRAMPA225,0.709565932,5.290434068
GRAMPA226,-0.137789226,6.137789226
GRAMPA227,1.126752702,4.873247298
GRAMPA228,2.176091259,3.823908741
GRAMPA229,0.727656499,5.272343501
GRAMPA230,0.178269598,5.821730402
GRAMPA231,0.366733199,5.633266801
GRAMPA232,0.108703584,5.891296416
GRAMPA233,1.038085385,4.961914615
GRAMPA234,0.973127854,5.026872146
GRAMPA235,2.176091259,3.823908741
GRAMPA236,1.079181246,4.920818754
GRAMPA237,1.150514998,4.849485002
GRAMPA238,1.481202196,4.518797804
GRAMPA239,1.452128977,4.547871023
GRAMPA240,0.602059991,5.397940009
GRAMPA241,1.638489257,4.361510743
GRAMPA242,1.35601973,4.64398027
GRAMPA243,1.191393897,4.808606103
GRAMPA244,0.600660931,5.399339069
GRAMPA245,0.588484546,5.411515454
GRAMPA246,0.591228964,5.408771036
GRAMPA247,1.397940009,4.602059991
GRAMPA248,1.698970004,4.301029996
GRAMPA249,1.806179974,4.193820026
GRAMPA250,1.668262653,4.331737347
GRAMPA251,1.512105363,4.487894637
GRAMPA252,1.381245267,4.618754733
GRAMPA253,1.72001579,4.27998421
GRAMPA254,2.278021023,3.721978977
GRAMPA255,2.271470003,3.728529997
GRAMPA256,2.289376845,3.710623155
GRAMPA257,1.704240402,4.295759598
GRAMPA258,1.397940009,4.602059991
GRAMPA259,0.704378369,5.295621631
GRAMPA260,0.658630599,5.341369401
GRAMPA261,0.636689777,5.363310223
GRAMPA262,0.619847102,5.380152898
GRAMPA263,1.176711434,4.823288566
GRAMPA266,1.02893484,4.97106516
GRAMPA268,1.096910013,4.903089987
GRAMPA269,0.977367371,5.022632629
GRAMPA270,1.204119983,4.795880017
GRAMPA271,0.306649924,5.693350076
GRAMPA272,0.32444735,5.67555265
GRAMPA273,0.977723605,5.022276395
GRAMPA274,1.77815125,4.22184875
GRAMPA275,0.336863136,5.663136864
GRAMPA276,1.220108088,4.779891912
GRAMPA277,0.698970004,5.301029996
GRAMPA278,0.698970004,5.301029996
GRAMPA279,0.302459524,5.697540476
GRAMPA280,0.898793817,5.101206183
GRAMPA281,1.740362689,4.259637311
GRAMPA282,2.603979117,3.396020883
GRAMPA283,0.716466178,5.283533822
GRAMPA284,1.337333977,4.662666023
GRAMPA285,1.091849711,4.908150289
GRAMPA286,1.669081894,4.330918106
GRAMPA287,1.08684388,4.91315612
GRAMPA289,-0.15490196,6.15490196
GRAMPA290,0.728216524,5.271783476
GRAMPA291,1.079181246,4.920818754
GRAMPA292,0.550473621,5.449526379
GRAMPA293,2.0,4.0
GRAMPA294,2.113943352,3.886056648
GRAMPA296,1.397940009,4.602059991
GRAMPA297,-2.397408385,8.397408385
GRAMPA298,2.0,4.0
GRAMPA299,1.491827041,4.508172959
GRAMPA300,1.186167883,4.813832117
GRAMPA301,0.602059991,5.397940009
GRAMPA302,1.227196663,4.772803337
GRAMPA303,0.795880017,5.204119983
GRAMPA304,1.041392685,4.958607315
GRAMPA305,0.698970004,5.301029996
GRAMPA306,0.193124598,5.806875402
GRAMPA307,1.095465448,4.904534552
GRAMPA308,1.017496174,4.982503826
GRAMPA309,1.204119983,4.795880017
GRAMPA310,0.0,6.0
GRAMPA311,0.0,6.0
GRAMPA312,0.494850022,5.505149978
GRAMPA313,1.204119983,4.795880017
GRAMPA314,2.0,4.0
GRAMPA315,1.096910013,4.903089987
GRAMPA317,0.602059991,5.397940009
GRAMPA318,0.22184875,5.77815125
GRAMPA319,1.397940009,4.602059991
GRAMPA321,0.902875533,5.097124467
GRAMPA322,1.973127854,4.026872146
GRAMPA323,0.792391689,5.207608311
GRAMPA324,0.397940009,5.602059991
GRAMPA325,0.26284534,5.73715466
GRAMPA326,0.698970004,5.301029996
GRAMPA327,0.257301944,5.742698056
GRAMPA328,2.041392685,3.958607315
GRAMPA329,0.837717181,5.162282819
GRAMPA330,1.301029996,4.698970004
GRAMPA331,0.477121255,5.522878745
GRAMPA332,1.079954832,4.920045168
GRAMPA333,0.698970004,5.301029996
GRAMPA334,1.681241237,4.318758763
GRAMPA335,0.922794281,5.077205719
GRAMPA336,1.077929929,4.922070071
GRAMPA337,1.204119983,4.795880017
GRAMPA338,1.318537794,4.681462206
GRAMPA339,0.602059991,5.397940009
GRAMPA341,0.893174743,5.106825257
GRAMPA344,1.609601596,4.390398404
GRAMPA345,2.21843152,3.78156848
GRAMPA346,1.320766689,4.679233311
GRAMPA347,2.316417857,3.683582143
GRAMPA348,2.228986777,3.771013223
GRAMPA349,2.193966252,3.806033748
GRAMPA350,0.746296682,5.253703318
GRAMPA351,2.188569079,3.811430921
GRAMPA352,2.208142506,3.791857494
GRAMPA353,1.086010115,4.913989885
GRAMPA354,2.204119983,3.795880017
GRAMPA355,0.707510669,5.292489331
GRAMPA356,0.795880017,5.204119983
GRAMPA357,0.193124598,5.806875402
GRAMPA358,1.913827383,4.086172617
GRAMPA359,0.193124598,5.806875402
GRAMPA360,0.918030337,5.081969663
GRAMPA361,0.193124598,5.806875402
GRAMPA363,2.202908983,3.797091017
GRAMPA364,1.698970004,4.301029996
GRAMPA365,1.096910013,4.903089987
GRAMPA366,0.997735769,5.002264231
GRAMPA367,1.477121255,4.522878745
GRAMPA368,1.236651493,4.763348507
GRAMPA369,0.528520391,5.471479609
GRAMPA370,0.59197335,5.40802665
GRAMPA371,0.658373463,5.341626537
GRAMPA372,0.437881673,5.562118327
GRAMPA373,2.095330407,3.904669593
GRAMPA374,2.088817497,3.911182503
GRAMPA375,1.481574738,4.518425262
GRAMPA376,2.208473382,3.791526618
GRAMPA377,2.088817497,3.911182503
GRAMPA378,2.090481432,3.909518568
GRAMPA379,1.777072853,4.222927147
GRAMPA380,1.773835937,4.226164063
GRAMPA381,1.765240672,4.234759328
GRAMPA382,1.774839851,4.225160149
GRAMPA383,2.075869847,3.924130153
GRAMPA384,2.063895211,3.936104789
GRAMPA385,1.759732105,4.240267895
GRAMPA386,0.572143637,5.427856363
GRAMPA387,0.256932025,5.743067975
GRAMPA388,1.166157959,4.833842041
GRAMPA389,1.754292514,4.245707486
GRAMPA390,1.455973797,4.544026203
GRAMPA391,2.090481432,3.909518568
GRAMPA392,1.774839851,4.225160149
GRAMPA393,0.176091259,5.823908741
GRAMPA394,2.137720904,3.862279096
GRAMPA395,0.463886132,5.536113868
GRAMPA396,1.310684817,4.689315183
GRAMPA397,2.452970359,3.547029641
GRAMPA398,1.531478917,4.468521083
GRAMPA399,0.698970004,5.301029996
GRAMPA400,1.397940009,4.602059991
GRAMPA401,1.176091259,4.823908741
GRAMPA402,1.47544267,4.52455733
GRAMPA403,2.082823959,3.917176041
GRAMPA404,2.086529258,3.913470742
GRAMPA405,2.09659217,3.90340783
GRAMPA406,2.08014605,3.91985395
GRAMPA407,2.065872503,3.934127497
GRAMPA408,2.072047855,3.927952145
GRAMPA409,1.759732105,4.240267895
GRAMPA410,0.578070351,5.421929649
GRAMPA411,0.563697065,5.436302935
GRAMPA412,0.566494382,5.433505618
GRAMPA413,0.563697065,5.436302935
GRAMPA414,0.444976427,5.555023573
GRAMPA415,0.254774969,5.745225031
GRAMPA416,1.181772931,4.818227069
GRAMPA417,0.880742935,5.119257065
GRAMPA418,2.072641228,3.927358772
GRAMPA419,0.564294637,5.435705363
GRAMPA420,2.080356475,3.919643525
GRAMPA421,0.880742935,5.119257065
GRAMPA422,0.378900777,5.621099223
GRAMPA423,0.943478106,5.056521894
GRAMPA424,1.257228065,4.742771935
GRAMPA425,0.628556352,5.371443648
GRAMPA426,1.0,5.0
GRAMPA427,0.817311161,5.182688839
GRAMPA428,0.768701516,5.231298484
GRAMPA429,0.604411274,5.395588726
GRAMPA430,0.318196412,5.681803588
GRAMPA431,0.325865799,5.674134201
GRAMPA432,0.494154594,5.505845406
GRAMPA433,0.77815125,5.22184875
GRAMPA434,1.079181246,4.920818754
GRAMPA435,0.77815125,5.22184875
GRAMPA436,0.477121255,5.522878745
GRAMPA437,0.477121255,5.522878745
GRAMPA438,0.477121255,5.522878745
GRAMPA439,2.559200679,3.440799321
GRAMPA440,1.453262518,4.546737482
GRAMPA441,0.996558023,5.003441977
GRAMPA442,0.84509804,5.15490196
GRAMPA443,1.346517699,4.653482301
GRAMPA444,1.757003793,4.242996207
GRAMPA445,0.864727061,5.135272939
GRAMPA446,0.254774969,5.745225031
GRAMPA447,0.624738576,5.375261424
GRAMPA450,0.795880017,5.204119983
GRAMPA451,2.301029996,3.698970004
GRAMPA452,1.602059991,4.397940009
GRAMPA453,2.176091259,3.823908741
GRAMPA454,1.903089987,4.096910013
GRAMPA455,2.0,4.0
GRAMPA456,1.698970004,4.301029996
GRAMPA457,1.096910013,4.903089987
GRAMPA458,0.954242509,5.045757491
GRAMPA459,1.015674605,4.984325395
GRAMPA460,1.432434775,4.567565225
GRAMPA461,-0.10741706,6.10741706
GRAMPA462,0.939329318,5.060670682
GRAMPA463,2.301029996,3.698970004
GRAMPA464,0.56296001,5.43703999
GRAMPA465,1.176091259,4.823908741
GRAMPA466,0.543440729,5.456559271
GRAMPA467,1.176091259,4.823908741
GRAMPA468,0.648043474,5.351956526
GRAMPA469,1.903089987,4.096910013
GRAMPA470,0.77815125,5.22184875
GRAMPA471,0.477121255,5.522878745
GRAMPA472,1.0,5.0
GRAMPA473,1.176091259,4.823908741
GRAMPA474,1.0,5.0
GRAMPA475,1.698970004,4.301029996
GRAMPA476,2.096910013,3.903089987
GRAMPA477,0.710151054,5.289848946
GRAMPA478,0.477121255,5.522878745
GRAMPA479,0.176091259,5.823908741
GRAMPA480,2.176091259,3.823908741
GRAMPA481,1.770852012,4.229147988
GRAMPA482,0.089637291,5.910362709
GRAMPA483,0.193344967,5.806655033
GRAMPA484,1.176091259,4.823908741
GRAMPA485,1.763427994,4.236572006
GRAMPA486,1.763427994,4.236572006
GRAMPA487,1.119530908,4.880469092
GRAMPA488,0.011694568,5.988305432
GRAMPA489,0.158119229,5.841880771
GRAMPA490,2.08766313,3.91233687
GRAMPA491,1.602059991,4.397940009
GRAMPA492,1.602059991,4.397940009
GRAMPA493,2.146128036,3.853871964
GRAMPA494,0.698970004,5.301029996
GRAMPA495,0.669006781,5.330993219
GRAMPA496,1.301029996,4.698970004
GRAMPA497,1.602059991,4.397940009
GRAMPA498,0.397940009,5.602059991
GRAMPA499,1.602059991,4.397940009
GRAMPA500,0.398433558,5.601566442
GRAMPA501,1.0,5.0
GRAMPA502,1.248570124,4.751429876
GRAMPA503,0.495544338,5.504455662
GRAMPA504,1.274157849,4.725842151
GRAMPA505,1.113943352,4.886056648
GRAMPA506,0.301029996,5.698970004
GRAMPA507,0.301029996,5.698970004
GRAMPA508,1.488056526,4.511943474
GRAMPA509,1.397940009,4.602059991
GRAMPA510,0.556302501,5.443697499
GRAMPA511,1.096910013,4.903089987
GRAMPA512,1.84509804,4.15490196
GRAMPA513,0.424703786,5.575296214
GRAMPA514,1.806179974,4.193820026
GRAMPA515,0.875061263,5.124938737
GRAMPA516,1.098697885,4.901302115
GRAMPA518,1.0,5.0
GRAMPA519,1.397940009,4.602059991
GRAMPA520,1.397940009,4.602059991
GRAMPA521,1.522878745,4.477121255
GRAMPA522,1.529982483,4.470017517
GRAMPA523,0.491361694,5.508638306
GRAMPA524,0.477121255,5.522878745
GRAMPA525,1.222716471,4.777283529
GRAMPA526,1.103803721,4.896196279
GRAMPA527,1.509874285,4.490125715
GRAMPA530,0.632023215,5.367976785
GRAMPA531,0.477121255,5.522878745
GRAMPA532,0.973127854,5.026872146
GRAMPA533,1.0,5.0
GRAMPA534,0.782274918,5.217725082
GRAMPA535,0.875061263,5.124938737
GRAMPA536,1.517872518,4.482127482
GRAMPA537,1.788000754,4.211999246
GRAMPA538,2.393000622,3.606999378
GRAMPA539,0.62324929,5.37675071
GRAMPA540,0.77815125,5.22184875
GRAMPA541,0.897627091,5.102372909
GRAMPA542,0.788875116,5.211124884
GRAMPA543,0.67669361,5.32330639
GRAMPA544,0.278753601,5.721246399
GRAMPA545,1.091080469,4.908919531
GRAMPA546,0.756961951,5.243038049
GRAMPA547,2.301029996,3.698970004
GRAMPA548,0.795880017,5.204119983
GRAMPA549,2.129431306,3.870568694
GRAMPA550,0.616772114,5.383227886
GRAMPA552,0.397940009,5.602059991
GRAMPA553,2.079181246,3.920818754
GRAMPA554,1.208176921,4.791823079
GRAMPA555,0.795880017,5.204119983
GRAMPA556,0.608086824,5.391913176
GRAMPA557,1.403335041,4.596664959
GRAMPA558,0.977723605,5.022276395
GRAMPA559,0.903089987,5.096910013
GRAMPA560,1.079181246,4.920818754
GRAMPA561,1.056169428,4.943830572
GRAMPA562,2.176091259,3.823908741
GRAMPA563,0.979772441,5.020227559
GRAMPA564,0.637851065,5.362148935
GRAMPA565,0.59226113,5.40773887
GRAMPA566,0.176091259,5.823908741
GRAMPA567,-0.064693135,6.064693135
GRAMPA568,1.681241237,4.318758763
GRAMPA569,1.927890158,4.072109842
GRAMPA570,2.208502897,3.791497103
GRAMPA571,1.335533875,4.664466125
GRAMPA572,1.986603041,4.013396959
GRAMPA573,1.702085896,4.297914104
GRAMPA574,1.850402594,4.149597406
GRAMPA575,1.301029996,4.698970004
GRAMPA576,2.233666999,3.766333001
GRAMPA577,2.221050469,3.778949531
GRAMPA578,2.212192342,3.787807658
GRAMPA579,2.212459079,3.787540921
GRAMPA580,2.204033855,3.795966145
GRAMPA581,0.491361694,5.508638306
GRAMPA582,1.089684615,4.910315385
GRAMPA583,1.241253198,4.758746802
GRAMPA584,2.408239965,3.591760035
GRAMPA585,2.477121255,3.522878745
GRAMPA586,1.213074825,4.786925175
GRAMPA587,2.698970004,3.301029996
GRAMPA588,2.397940009,3.602059991
GRAMPA589,2.327744531,3.672255469
GRAMPA590,2.10720997,3.89279003
GRAMPA591,0.602059991,5.397940009
GRAMPA592,0.602059991,5.397940009
GRAMPA593,1.041392685,4.958607315
GRAMPA594,1.477121255,4.522878745
GRAMPA595,1.498310554,4.501689446
GRAMPA596,0.444565221,5.555434779
GRAMPA597,0.957447649,5.042552351
GRAMPA598,0.806632129,5.193367871
GRAMPA599,1.193820026,4.806179974
GRAMPA600,0.7981901,5.2018099
GRAMPA601,0.032057099,5.967942901
GRAMPA602,0.477121255,5.522878745
GRAMPA603,2.237759456,3.762240544
GRAMPA604,2.0,4.0
GRAMPA605,1.144735173,4.855264827
GRAMPA606,1.906084061,4.093915939
GRAMPA607,0.846036903,5.153963097
GRAMPA608,0.850606277,5.149393723
GRAMPA609,1.158362492,4.841637508
GRAMPA610,1.158362492,4.841637508
GRAMPA611,1.204119983,4.795880017
GRAMPA613,0.892094603,5.107905397
GRAMPA614,0.977723605,5.022276395
GRAMPA615,0.971971276,5.028028724
GRAMPA616,1.460208536,4.539791464
GRAMPA617,0.670941281,5.329058719
GRAMPA618,0.954242509,5.045757491
GRAMPA619,0.477121255,5.522878745
GRAMPA620,1.681241237,4.318758763
GRAMPA621,0.77815125,5.22184875
GRAMPA622,0.77815125,5.22184875
GRAMPA623,0.77815125,5.22184875
GRAMPA624,1.902875533,4.097124467
GRAMPA625,1.096910013,4.903089987
GRAMPA626,2.477121255,3.522878745
GRAMPA627,0.672097858,5.327902142
GRAMPA628,0.748188027,5.251811973
GRAMPA629,2.477121255,3.522878745
GRAMPA630,1.299818996,4.700181004
GRAMPA631,0.698970004,5.301029996
GRAMPA632,1.0,5.0
GRAMPA633,1.505149978,4.494850022
GRAMPA634,1.903089987,4.096910013
GRAMPA635,2.477121255,3.522878745
GRAMPA637,-0.34973146,6.34973146
GRAMPA638,1.374036408,4.625963592
GRAMPA639,0.602059991,5.397940009
GRAMPA640,1.302220212,4.697779788
GRAMPA641,1.477121255,4.522878745
GRAMPA642,1.761325425,4.238674575
GRAMPA643,0.70963328,5.29036672
GRAMPA644,1.697786165,4.302213835
GRAMPA645,2.247031938,3.752968062
GRAMPA646,2.181580169,3.818419831
GRAMPA647,1.587203923,4.412796077
GRAMPA648,0.850846749,5.149153251
GRAMPA650,0.826103265,5.173896735
GRAMPA651,1.722358773,4.277641227
GRAMPA652,0.301029996,5.698970004
GRAMPA653,0.908485019,5.091514981
GRAMPA654,2.0,4.0
GRAMPA655,1.589949601,4.410050399
